OID,CID
430,1485
431,3039
432,1656
433,3104
434,3995
435,593
436,755
437,3417
438,3826
439,3006
440,724
441,2419
442,1219
443,2591
444,1966
445,363
446,1264
447,45
448,3533
449,3753
450,2600
451,2997
452,1067
453,3864
454,3635
455,2380
456,2183
457,1342
458,3373
459,2158
460,2491
461,1245
462,1549
463,3475
464,3931
465,2354
466,1192
467,128
468,3008
469,1906
470,1121
471,3283
472,3002
473,1007
474,5
475,2258
476,2335
477,3778
478,3791
479,1849
480,713
481,3363
482,3327
483,169
484,3694
485,1161
486,408
487,179
488,2319
489,2997
490,635
491,3271
492,1795
493,2099
494,275
495,2689
496,3998
497,2944
498,4011
499,2739
500,904
501,33
502,3871
503,2814
504,2818
505,4
506,1779
507,2747
508,1218
509,2017
510,2678
511,3458
512,2156
513,2752
514,3298
515,3580
516,3540
517,1980
518,1374
519,3754
520,1008
521,1482
522,280
523,1170
524,1759
525,3874
526,93
527,1730
528,2035
529,1973
530,1995
531,3834
532,3952
533,773
534,2805
535,1907
536,2384
537,1854
538,2860
539,1033
540,1292
541,1436
542,645
543,2145
544,2962
545,3475
546,1276
547,1232
548,2076
549,1262
550,1772
551,90
552,1818
553,1951
554,1441
555,197
556,1856
557,2956
558,3360
559,4028
560,454
561,703
562,3855
563,2190
564,3092
565,584
566,142
567,2053
568,1264
569,1152
570,3109
571,938
572,125
573,2205
574,1890
575,3621
576,1228
577,3877
578,2232
579,487
580,3804
581,2710
582,3600
583,3032
584,2641
585,2310
586,1432
587,3179
588,2357
589,3819
590,1531
591,1528
592,3221
593,2013
594,2256
595,280
596,2668
597,2690
598,1572
599,2278
600,1285
601,775
602,673
603,1617
604,2071
605,1196
606,1216
607,258
608,3196
609,614
610,3673
611,2259
612,2463
613,1129
614,1513
615,385
616,1607
617,2204
618,2900
619,2481
620,1665
621,3583
622,1510
623,1522
624,3314
625,2584
626,792
627,329
628,1342
629,798
630,3687
631,1199
632,1207
633,1534
634,1670
635,2233
636,3094
637,1147
638,97
639,2186
640,2213
641,1164
642,2954
643,304
644,3851
645,862
646,1613
647,2926
648,1762
649,3762
650,992
651,634
652,831
653,1422
654,1823
655,1104
656,3719
657,1300
658,3580
659,4023
660,1376
661,2103
662,3325
663,2426
664,3797
665,3255
666,3414
667,2976
668,2923
669,2082
670,3940
671,2586
672,1323
673,2366
674,2625
675,3089
676,2349
677,3205
678,1563
679,2161
680,1598
681,2851
682,2392
683,3017
684,3
685,3570
686,3873
687,2562
688,1145
689,364
690,2630
691,1384
692,1391
693,2667
694,3048
695,2465
696,2124
697,106
698,3717
699,3408
700,387
701,1811
702,2418
703,964
704,1141
705,746
706,3129
707,2248
708,734
709,2252
710,2781
711,1116
712,3284
713,3375
714,424
715,1617
716,3016
717,2891
718,3735
719,2114
720,3389
721,2098
722,2211
723,242
724,3153
725,1301
726,3200
727,2916
728,2468
729,1111
730,3493
731,2923
732,576
733,2319
734,2914
735,2286
736,1418
737,188
738,283
739,3669
740,2290
741,241
742,1876
743,2624
744,210
745,2066
746,3157
747,1095
748,3315
749,2822
750,3712
751,3075
752,910
753,3336
754,1123
755,1302
756,71
757,3545
758,2129
759,2796
760,2037
761,421
762,3226
763,974
764,733
765,2314
766,2405
767,352
768,2700
769,1290
770,3175
771,1089
772,591
773,4008
774,289
775,1969
776,245
777,2702
778,2429
779,2423
780,341
781,2555
782,19
783,4004
784,275
785,1998
786,513
787,1856
788,331
789,2074
790,2035
791,104
792,2490
793,2295
794,2404
795,924
796,331
797,2650
798,2917
799,3356
800,1648
801,900
802,3205
803,3642
804,1369
805,3882
806,112
807,1965
808,1112
809,1191
810,1005
811,3495
812,3670
813,812
814,3830
815,751
816,1673
817,2651
818,3525
819,3031
820,837
821,493
822,3581
823,672
824,3837
825,857
826,3860
827,3096
828,2443
829,2756
830,225
831,75
832,1761
833,3995
834,657
835,2466
836,597
837,3088
838,456
839,873
840,730
841,1820
842,493
843,467
844,2371
845,786
846,3744
847,3545
848,2826
849,3312
850,1283
851,1542
852,1849
853,2805
854,356
855,1300
856,2319
857,2520
858,3865
859,1254
860,2928
861,1210
862,514
863,3753
864,1380
865,2510
866,1859
867,2032
868,1120
869,1254
870,1336
871,1967
872,584
873,2657
874,1608
875,3145
876,112
877,3402
878,2421
879,3235
880,2594
881,3942
882,4030
883,2453
884,3494
885,2745
886,2362
887,1148
888,1159
889,1511
890,396
891,4013
892,1539
893,3008
894,3898
895,1870
896,1456
897,2255
898,627
899,1966
900,2418
901,3768
902,1828
903,1912
904,3585
905,1565
906,1282
907,1990
908,686
909,903
910,3011
911,451
912,3586
913,1093
914,2185
915,2443
916,1189
917,2422
918,2812
919,2661
920,396
921,2850
922,348
923,1858
924,3575
925,2418
926,1393
927,1527
928,2326
929,1006
930,1284
931,2877
932,1570
933,2380
934,678
935,393
936,2019
937,1045
938,2602
939,1821
940,2618
941,2053
942,293
943,662
944,3258
945,2864
946,1240
947,3288
948,272
949,284
950,2247
951,3577
952,3448
953,3256
954,2408
955,1321
956,3635
957,1973
958,1086
959,517
960,2691
961,1066
962,2479
963,1114
964,3727
965,2421
966,1537
967,2144
968,67
969,2734
970,993
971,2913
972,2913
973,2550
974,2453
975,963
976,154
977,1573
978,643
979,65
980,2250
981,3717
982,3221
983,940
984,3713
985,1776
986,1551
987,2009
988,2597
989,6
990,70
991,3154
992,993
993,3608
994,1603
995,64
996,3259
997,2316
998,3961
999,744
1000,3688
1001,898
1002,1330
1003,1382
1004,1643
1005,89
1006,1522
1007,2531
1008,341
1009,2137
1010,1411
1011,3433
1012,2171
1013,834
1014,2795
1015,3747
1016,3852
1017,80
1018,1507
1019,2340
1020,3664
1021,2021
1022,3229
1023,1541
1024,2334
1025,2511
1026,25
1027,3822
1028,2568
1029,2745
1030,3808
1031,218
1032,1988
1033,122
1034,780
1035,1569
1036,579
1037,2861
1038,3109
1039,3001
1040,619
1041,1085
1042,2303
1043,1336
1044,2431
1045,2288
1046,3682
1047,2111
1048,1382
1049,3567
1050,4008
1051,1455
1052,625
1053,2620
1054,2813
1055,3052
1056,1382
1057,2531
1058,873
1059,181
1060,1014
1061,1184
1062,2631
1063,3498
1064,2050
1065,627
1066,1657
1067,838
1068,4005
1069,2935
1070,164
1071,1613
1072,2424
1073,3170
1074,3422
1075,215
1076,3996
1077,1241
1078,1365
1079,1488
1080,2527
1081,857
1082,2819
1083,2697
1084,3772
1085,3443
1086,281
1087,1825
1088,226
1089,2908
1090,3613
1091,2623
1092,193
1093,278
1094,75
1095,2489
1096,2584
1097,1723
1098,3003
1099,383
1100,761
1101,1955
1102,155
1103,3670
1104,3728
1105,1408
1106,2471
1107,553
1108,464
1109,2954
1110,1026
1111,2276
1112,1681
1113,3765
1114,3914
1115,3598
1116,780
1117,1363
1118,2139
1119,3280
1120,1458
1121,3797
1122,3125
1123,2261
1124,1955
1125,773
1126,3470
1127,845
1128,2089
1129,4013
1130,2762
1131,1155
1132,2960
1133,751
1134,3553
1135,2684
1136,3868
1137,3852
1138,1803
1139,2397
1140,3106
1141,1402
1142,368
1143,3895
1144,2525
1145,3765
1146,1883
1147,3520
1148,2208
1149,2508
1150,1334
1151,2714
1152,3778
1153,1029
1154,1524
1155,3235
1156,3309
1157,2850
1158,1081
1159,648
1160,1463
1161,3608
1162,1753
1163,3475
1164,3982
1165,2300
1166,2713
1167,707
1168,601
1169,3592
1170,1385
1171,1478
1172,2808
1173,4004
1174,3191
1175,1258
1176,2998
1177,1786
1178,3545
1179,3980
1180,2629
1181,1529
1182,3824
1183,3104
1184,1335
1185,348
1186,664
1187,3906
1188,1290
1189,3019
1190,1396
1191,448
1192,1367
1193,2577
1194,3264
1195,1239
1196,995
1197,1266
1198,433
1199,2346
1200,3894
1201,2032
1202,44
1203,1016
1204,2559
1205,4037
1206,3499
1207,660
1208,945
1209,2394
1210,2918
1211,2102
1212,3185
1213,2683
1214,1086
1215,3432
1216,3550
1217,2386
1218,3783
1219,3395
1220,3303
1221,2741
1222,717
1223,1569
1224,3728
1225,547
1226,3695
1227,2861
1228,324
1229,3626
1230,2581
1231,3383
1232,1373
1233,1585
1234,14
1235,3858
1236,157
1237,2137
1238,2787
1239,3805
1240,1717
1241,3951
1242,2220
1243,502
1244,797
1245,2377
1246,1397
1247,3495
1248,885
1249,2020
1250,3549
1251,2998
1252,3598
1253,2222
1254,230
1255,2029
1256,2893
1257,2577
1258,3350
1259,525
1260,159
1261,2543
1262,2127
1263,3908
1264,42
1265,2574
1266,2907
1267,4021
1268,3914
1269,896
1270,1599
1271,3650
1272,3382
1273,2528
1274,1850
1275,494
1276,324
1277,3197
1278,835
1279,100
1280,3015
1281,1884
1282,2371
1283,3176
1284,992
1285,3266
1286,2049
1287,3531
1288,2091
1289,792
1290,2767
1291,3779
1292,1689
1293,3312
1294,1138
1295,2080
1296,3541
1297,1348
1298,3158
1299,3951
1300,1382
1301,256
1302,2916
1303,1732
1304,2598
1305,1861
1306,3829
1307,4004
1308,659
1309,3364
1310,3926
1311,866
1312,1246
1313,2295
1314,2704
1315,3501
1316,1789
1317,203
1318,1402
1319,3874
1320,379
1321,2375
1322,2351
1323,3582
1324,36
1325,2087
1326,2862
1327,453
1328,2841
1329,3200
1330,3842
1331,2514
1332,568
1333,1455
1334,1590
1335,2167
1336,717
1337,3120
1338,2187
1339,3726
1340,2412
1341,482
1342,3238
1343,3474
1344,796
1345,1686
1346,3854
1347,608
1348,3627
1349,2802
1350,404
1351,109
1352,1840
1353,832
1354,1843
1355,3360
1356,1049
1357,1213
1358,123
1359,2296
1360,3267
1361,704
1362,3225
1363,1408
1364,569
1365,1893
1366,549
1367,2671
1368,511
1369,3152
1370,643
1371,3943
1372,2293
1373,2083
1374,3281
1375,3631
1376,1702
1377,3952
1378,1290
1379,126
1380,2135
1381,7
1382,2179
1383,1485
1384,1566
1385,3610
1386,680
1387,964
1388,3820
1389,3095
1390,2469
1391,3697
1392,2629
1393,2125
1394,2010
1395,633
1396,2115
1397,2698
1398,3415
1399,780
1400,3607
1401,2381
1402,1387
1403,2825
1404,2734
1405,129
1406,3000
1407,661
1408,873
1409,755
1410,2922
1411,3022
1412,2050
1413,731
1414,1363
1415,1711
1416,1641
1417,2041
1418,3404
1419,3516
1420,180
1421,3907
1422,2045
1423,2844
1424,503
1425,550
1426,75
1427,2922
1428,1615
1429,1785
1430,2544
1431,3047
1432,557
1433,343
1434,2658
1435,1673
1436,206
1437,453
1438,3165
1439,2481
1440,2160
1441,1748
1442,828
1443,3238
1444,119
1445,2990
1446,701
1447,1886
1448,3972
1449,3396
1450,2331
1451,3166
1452,1655
1453,2132
1454,2703
1455,3728
1456,659
1457,81
1458,3346
1459,1645
1460,1655
1461,2603
1462,4010
1463,272
1464,1068
1465,2847
1466,529
1467,3085
1468,2484
1469,475
1470,793
1471,347
1472,3955
1473,912
1474,891
1475,172
1476,3056
1477,2544
1478,2238
1479,2485
1480,671
1481,711
1482,3577
1483,2209
1484,1908
1485,2909
1486,2060
1487,854
1488,320
1489,2924
1490,282
1491,107
1492,1958
1493,1312
1494,3051
1495,111
1496,1424
1497,405
1498,2429
1499,1374
1500,1629
1501,3057
1502,2581
1503,732
1504,152
1505,3127
1506,1482
1507,2267
1508,2893
1509,665
1510,3879
1511,1378
1512,2939
1513,2855
1514,143
1515,403
1516,3997
1517,69
1518,1922
1519,3116
1520,1468
1521,946
1522,43
1523,3878
1524,1171
1525,222
1526,221
1527,499
1528,951
1529,1837
1530,509
1531,153
1532,830
1533,2175
1534,1670
1535,574
1536,1929
1537,733
1538,419
1539,2637
1540,88
1541,1570
1542,2387
1543,662
1544,3997
1545,2616
1546,188
1547,1356
1548,2766
1549,1854
1550,737
1551,2870
1552,6
1553,1036
1554,254
1555,2312
1556,604
1557,3802
1558,531
1559,2242
1560,1216
1561,3851
1562,3751
1563,3322
1564,2848
1565,1921
1566,1344
1567,444
1568,2799
1569,970
1570,1484
1571,1177
1572,339
1573,773
1574,1016
1575,245
1576,1960
1577,2191
1578,350
1579,517
1580,1857
1581,3112
1582,1811
1583,1929
1584,3764
1585,489
1586,1215
1587,59
1588,2962
1589,2442
1590,3001
1591,3143
1592,619
1593,4008
1594,1942
1595,3782
1596,2367
1597,609
1598,2371
1599,433
1600,1723
1601,2149
1602,2740
1603,3082
1604,1253
1605,2070
1606,1026
1607,2860
1608,1928
1609,2680
1610,3516
1611,1158
1612,2735
1613,1594
1614,3446
1615,1853
1616,137
1617,3259
1618,377
1619,3210
1620,3361
1621,1047
1622,1827
1623,747
1624,3074
1625,3423
1626,3623
1627,410
1628,3629
1629,178
1630,3834
1631,506
1632,27
1633,316
1634,2575
1635,1005
1636,977
1637,2397
1638,1882
1639,3274
1640,1355
1641,2292
1642,1766
1643,269
1644,1377
1645,819
1646,459
1647,879
1648,741
1649,3019
1650,2344
1651,2604
1652,2716
1653,3767
1654,311
1655,1843
1656,3855
1657,1482
1658,2283
1659,3441
1660,1903
1661,1380
1662,486
1663,1214
1664,3013
1665,423
1666,3710
1667,2333
1668,1773
1669,2209
1670,3420
1671,2256
1672,1456
1673,2049
1674,3734
1675,1971
1676,1763
1677,133
1678,2650
1679,29
1680,1212
1681,943
1682,160
1683,2571
1684,814
1685,1419
1686,3376
1687,1135
1688,125
1689,2868
1690,143
1691,3637
1692,599
1693,774
1694,1687
1695,977
1696,197
1697,2051
1698,2315
1699,1582
1700,3193
1701,2691
1702,979
1703,1498
1704,934
1705,2185
1706,3996
1707,3553
1708,3414
1709,3983
1710,2582
1711,3881
1712,1953
1713,747
1714,1994
1715,2846
1716,3541
1717,2588
1718,3850
1719,2679
1720,2756
1721,1257
1722,3301
1723,3321
1724,2912
1725,2134
1726,46
1727,1215
1728,14
1729,3069
1730,2081
1731,377
1732,3701
1733,2320
1734,3885
1735,470
1736,3299
1737,502
1738,1014
1739,241
1740,1110
1741,304
1742,2290
1743,1846
1744,3977
1745,2470
1746,3044
1747,1635
1748,2549
1749,2626
1750,3072
1751,600
1752,3850
1753,1590
1754,3861
1755,2948
1756,1029
1757,3384
1758,2192
1759,1832
1760,619
1761,2942
1762,2391
1763,2240
1764,1788
1765,3078
1766,3581
1767,400
1768,3126
1769,3466
1770,1639
1771,3266
1772,853
1773,1224
1774,3806
1775,1823
1776,2681
1777,1480
1778,439
1779,508
1780,2356
1781,1793
1782,2171
1783,1833
1784,1300
1785,3033
1786,4006
1787,1893
1788,2568
1789,1524
1790,971
1791,2264
1792,1574
1793,2361
1794,1318
1795,1179
1796,2711
1797,2944
1798,3865
1799,1738
1800,2205
1801,2605
1802,524
1803,3305
1804,1574
1805,1567
1806,3300
1807,4004
1808,1812
1809,531
1810,989
1811,2165
1812,3411
1813,1296
1814,3976
1815,3426
1816,3146
1817,3425
1818,3283
1819,3857
1820,2180
1821,1621
1822,481
1823,243
1824,1740
1825,1915
1826,1033
1827,932
1828,3090
1829,2798
1830,534
1831,3512
1832,1833
1833,2783
1834,2743
1835,1088
1836,3115
1837,2978
1838,2800
1839,2696
1840,901
1841,940
1842,3650
1843,1026
1844,2367
1845,2059
1846,3608
1847,1744
1848,1111
1849,2577
1850,23
1851,1876
1852,537
1853,3529
1854,3449
1855,2853
1856,1172
1857,1772
1858,2464
1859,316
1860,3140
1861,296
1862,1126
1863,3191
1864,2885
1865,15
1866,3898
1867,142
1868,1200
1869,3343
1870,3823
1871,1638
1872,3406
1873,599
1874,3260
1875,1318
1876,240
1877,3261
1878,1563
1879,3503
1880,757
1881,1605
1882,2703
1883,787
1884,3903
1885,1752
1886,1130
1887,1386
1888,247
1889,3275
1890,3335
1891,2018
1892,1127
1893,3217
1894,1902
1895,2080
1896,270
1897,2619
1898,1737
1899,3349
1900,2671
1901,1744
1902,2945
1903,107
1904,2558
1905,800
1906,52
1907,2799
1908,2858
1909,2075
1910,2890
1911,2713
1912,2401
1913,767
1914,1894
1915,1356
1916,2738
1917,849
1918,2412
1919,3767
1920,638
1921,2125
1922,3735
1923,149
1924,1623
1925,3361
1926,179
1927,3483
1928,4016
1929,2689
1930,3206
1931,816
1932,527
1933,3393
1934,3740
1935,921
1936,1397
1937,3832
1938,3253
1939,3997
1940,2008
1941,3624
1942,167
1943,860
1944,2193
1945,1702
1946,195
1947,1000
1948,3400
1949,2584
1950,3584
1951,1233
1952,1311
1953,3494
1954,3627
1955,1519
1956,2990
1957,3593
1958,1170
1959,3576
1960,2101
1961,2285
1962,3702
1963,1155
1964,3328
1965,2125
1966,1404
1967,3716
1968,2014
1969,3403
1970,3474
1971,3104
1972,633
1973,3626
1974,3542
1975,3545
1976,3497
1977,1338
1978,3152
1979,2679
1980,1210
1981,2888
1982,2948
1983,1615
1984,409
1985,2026
1986,3037
1987,1589
1988,1453
1989,2384
1990,2790
1991,2452
1992,3697
1993,2153
1994,2767
1995,1095
1996,769
1997,3791
1998,2915
1999,2838
2000,3655
2001,834
2002,2372
2003,3795
2004,472
2005,558
2006,1878
2007,1575
2008,2799
2009,1186
2010,2589
2011,3324
2012,706
2013,3504
2014,305
2015,1848
2016,2204
2017,2813
2018,653
2019,3625
2020,954
2021,689
2022,1279
2023,2616
2024,344
2025,1637
2026,3857
2027,970
2028,586
2029,3155
2030,2484
2031,1683
2032,1301
2033,3190
2034,1631
2035,3546
2036,3587
2037,3975
2038,120
2039,2967
2040,3935
2041,3462
2042,3851
2043,1342
2044,1836
2045,3950
2046,2983
2047,37
2048,169
2049,2058
2050,1884
2051,3476
2052,3384
2053,895
2054,2402
2055,3492
2056,3030
2057,4001
2058,1210
2059,3169
2060,454
2061,232
2062,702
2063,2946
2064,1821
2065,2792
2066,2060
2067,2748
2068,3126
2069,2476
2070,1357
2071,1932
2072,1788
2073,2099
2074,3469
2075,6
2076,1905
2077,3224
2078,488
2079,3299
2080,1723
2081,235
2082,3517
2083,714
2084,2856
2085,3074
2086,992
2087,3771
2088,1521
2089,3468
2090,2554
2091,2958
2092,2820
2093,2863
2094,2398
2095,555
2096,3172
2097,2348
2098,3783
2099,2407
2100,3453
2101,1552
2102,2109
2103,179
2104,2007
2105,315
2106,3714
2107,2206
2108,1088
2109,1979
2110,650
2111,2254
2112,469
2113,2582
2114,2217
2115,3315
2116,2302
2117,1721
2118,1078
2119,2060
2120,2135
2121,3780
2122,430
2123,2329
2124,1845
2125,1043
2126,2051
2127,1273
2128,655
2129,1582
2130,1990
2131,3527
2132,1611
2133,2466
2134,526
2135,3389
2136,3298
2137,2299
2138,13
2139,1278
2140,232
2141,3420
2142,2968
2143,2962
2144,720
2145,334
2146,311
2147,1589
2148,1695
2149,2029
2150,2569
2151,2991
2152,3870
2153,3165
2154,1952
2155,1786
2156,840
2157,2643
2158,3030
2159,3188
2160,2268
2161,2120
2162,483
2163,886
2164,337
2165,1347
2166,3783
2167,3291
2168,1743
2169,1089
2170,3494
2171,2466
2172,589
2173,881
2174,7
2175,298
2176,3623
2177,2241
2178,1048
2179,2108
2180,2251
2181,4020
2182,2313
2183,3265
2184,1925
2185,2121
2186,2322
2187,663
2188,1156
2189,466
2190,1123
2191,496
2192,1431
2193,256
2194,3735
2195,2617
2196,882
2197,1229
2198,513
2199,455
2200,1156
2201,296
2202,3466
2203,1161
2204,2854
2205,832
2206,1062
2207,1882
2208,2980
2209,720
2210,3864
2211,989
2212,2148
2213,1260
2214,3365
2215,2212
2216,4036
2217,16
2218,3092
2219,1865
2220,2121
2221,3698
2222,3028
2223,1863
2224,1421
2225,2279
2226,1340
2227,2350
2228,2200
2229,2352
2230,941
2231,1932
2232,3073
2233,3749
2234,2357
2235,2719
2236,3895
2237,2747
2238,1011
2239,1365
2240,952
2241,2310
2242,3352
2243,3640
2244,672
2245,3816
2246,734
2247,1861
2248,1729
2249,784
2250,2324
2251,1327
2252,2912
2253,4015
2254,3250
2255,255
2256,1685
2257,3015
2258,1799
2259,1857
2260,2805
2261,826
2262,2422
2263,3212
2264,2498
2265,1300
2266,3023
2267,2853
2268,2022
2269,2259
2270,3376
2271,3663
2272,3547
2273,1117
2274,918
2275,2576
2276,2736
2277,2271
2278,844
2279,2768
2280,3118
2281,2114
2282,2861
2283,118
2284,146
2285,3322
2286,2569
2287,3823
2288,3299
2289,2287
2290,2969
2291,687
2292,2710
2293,2235
2294,2233
2295,2794
2296,2420
2297,907
2298,2603
2299,2725
2300,3224
2301,667
2302,3154
2303,2918
2304,714
2305,3762
2306,2419
2307,554
2308,1205
2309,1328
2310,173
2311,1791
2312,1782
2313,3398
2314,643
2315,2550
2316,751
2317,1636
2318,3505
2319,1031
2320,1868
2321,340
2322,2161
2323,2024
2324,3428
2325,2383
2326,761
2327,691
2328,3631
2329,1506
2330,1482
2331,3846
2332,3731
2333,2079
2334,3146
2335,2924
2336,732
2337,2946
2338,1701
2339,1689
2340,834
2341,4001
2342,1315
2343,2227
2344,3557
2345,2942
2346,2551
2347,1354
2348,1466
2349,737
2350,3911
2351,2454
2352,3077
2353,1986
2354,3162
2355,2667
2356,3969
2357,332
2358,2113
2359,2067
2360,1672
2361,559
2362,3682
2363,980
2364,566
2365,3768
2366,1668
2367,2163
2368,2277
2369,3022
2370,3414
2371,1244
2372,3165
2373,2880
2374,1341
2375,72
2376,1542
2377,915
2378,2713
2379,3483
2380,2365
2381,1576
2382,762
2383,63
2384,1193
2385,3048
2386,3470
2387,1819
2388,2535
2389,1646
2390,3742
2391,281
2392,1469
2393,3104
2394,3246
2395,2037
2396,1888
2397,2710
2398,2920
2399,2451
2400,2240
2401,3296
2402,1241
2403,1715
2404,1103
2405,1748
2406,1851
2407,2806
2408,2500
2409,554
2410,537
2411,1841
2412,3432
2413,101
2414,4014
2415,3831
2416,1120
2417,3292
2418,2188
2419,26
2420,3860
2421,390
2422,2564
2423,996
2424,1425
2425,2025
2426,3773
2427,3253
2428,376
2429,802
2430,884
2431,3680
2432,3347
2433,2495
2434,2185
2435,1467
2436,3774
2437,1172
2438,2733
2439,300
2440,1476
2441,3655
2442,1788
2443,3167
2444,2537
2445,1754
2446,580
2447,2169
2448,2606
2449,4033
2450,681
2451,3724
2452,282
2453,934
2454,1
2455,2718
2456,1232
2457,2340
2458,1395
2459,1548
2460,840
2461,3865
2462,911
2463,1264
2464,3013
2465,3278
2466,2503
2467,3774
2468,2566
2469,3624
2470,18
2471,306
2472,1563
2473,295
2474,436
2475,497
2476,1145
2477,2232
2478,939
2479,3040
2480,1542
2481,403
2482,3169
2483,150
2484,3877
2485,1933
2486,827
2487,3663
2488,3130
2489,3883
2490,1539
2491,2695
2492,3091
2493,3511
2494,1488
2495,2832
2496,2554
2497,1933
2498,1789
2499,960
2500,1064
2501,747
2502,2768
2503,647
2504,1100
2505,863
2506,1185
2507,911
2508,3966
2509,2023
2510,1289
2511,3634
2512,3913
2513,262
2514,2443
2515,3328
2516,1519
2517,788
2518,95
2519,424
2520,2113
2521,702
2522,3478
2523,2276
2524,3443
2525,1355
2526,769
2527,2022
2528,3234
2529,1543
2530,3641
2531,3112
2532,1158
2533,758
2534,3276
2535,3058
2536,1699
2537,1879
2538,336
2539,1476
2540,996
2541,1051
2542,3675
2543,2616
2544,428
2545,529
2546,946
2547,360
2548,2705
2549,3056
2550,1827
2551,627
2552,1556
2553,3792
2554,1333
2555,3248
2556,3193
2557,3800
2558,3394
2559,3332
2560,1974
2561,3396
2562,3201
2563,3855
2564,3011
2565,2269
2566,1774
2567,1868
2568,2498
2569,3884
2570,146
2571,2184
2572,850
2573,2159
2574,1458
2575,1660
2576,3418
2577,3955
2578,2545
2579,2853
2580,1514
2581,1962
2582,2738
2583,3650
2584,3562
2585,2697
2586,3226
2587,627
2588,2742
2589,3216
2590,456
2591,2410
2592,2056
2593,2569
2594,2701
2595,408
2596,3600
2597,96
2598,308
2599,3379
2600,3738
